index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_bugs,fastread_bugs
171,pathfinder.py,5.0,5.0,5.0,1.0,25.0,3.0,14.0,8.0,0.0,11.0,11.0,300.0,56.0,158.0,14.0,144.0,95.0,0.0,0.0,159.0,14.0,145.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,4.0,4.0,0.6,57.0,57.0,57.0,21.0,37.0,51
172,pathfinderTest.py,1.0,1.0,1.0,1.0,12.0,1.0,11.0,0.0,5.0,25.0,25.0,360.0,73.0,287.0,33.0,254.0,9.0,0.0,0.0,191.0,33.0,158.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.03,25.0,25.0,25.0,25.0,23.0,33
173,resonance.py,6.0,6.0,6.0,3.0,42.0,4.0,28.0,10.0,0.0,8.0,8.0,357.0,48.0,232.0,15.0,217.0,81.0,0.0,0.0,220.0,15.0,205.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,9.0,5.0,0.35,48.0,48.0,48.0,27.0,58.0,67
174,resonanceTest.py,1.0,1.0,1.0,1.0,22.0,0.0,20.0,1.0,1.0,13.0,13.0,316.0,28.0,270.0,21.0,249.0,23.0,0.0,0.0,85.0,18.0,67.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,11.0,4.0,0.09,25.0,25.0,25.0,25.0,43.0,63
176,symmetryTest.py,1.0,1.0,1.0,1.0,6.0,0.0,3.0,3.0,1.0,47.0,46.0,389.0,52.0,191.0,55.0,136.0,150.0,2.0,0.0,188.0,52.0,136.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,3.0,0.79,73.0,73.0,73.0,47.0,40.0,48
180,collisionTest.py,1.0,1.0,1.0,1.0,7.0,0.0,5.0,2.0,1.0,7.0,7.0,108.0,13.0,40.0,13.0,27.0,55.0,0.0,0.0,36.0,13.0,23.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.38,8.0,8.0,8.0,7.0,16.0,20
181,draw.py,7.0,7.0,7.0,3.0,46.0,4.0,35.0,7.0,1.0,9.0,9.0,484.0,58.0,319.0,17.0,302.0,107.0,0.0,0.0,320.0,17.0,303.0,0.0,0.0,0.0,0.0,35.0,35.0,35.0,19.0,4.0,0.34,67.0,67.0,67.0,29.0,51.0,69
182,network.py,5.0,5.0,5.0,2.0,32.0,3.0,21.0,8.0,3.0,26.0,26.0,954.0,124.0,550.0,40.0,510.0,285.0,0.0,0.0,523.0,40.0,483.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,15.0,6.0,0.52,147.0,147.0,147.0,53.0,35.0,45
183,networkTest.py,1.0,1.0,1.0,1.0,14.0,0.0,11.0,3.0,1.0,10.0,9.0,206.0,23.0,120.0,22.0,98.0,63.0,2.0,0.0,43.0,22.0,21.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.53,11.0,11.0,11.0,10.0,26.0,29
185,gaussian.py,4.0,4.0,4.0,2.0,21.0,2.0,14.0,5.0,4.0,8.0,8.0,307.0,46.0,199.0,22.0,177.0,111.0,0.0,0.0,153.0,22.0,131.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,9.0,5.0,0.56,32.0,32.0,32.0,21.0,63.0,77
186,gaussianTest.py,2.0,2.0,2.0,1.0,14.0,2.0,9.0,3.0,2.0,7.0,6.0,142.0,34.0,77.0,22.0,55.0,31.0,2.0,0.0,65.0,18.0,47.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.4,16.0,16.0,16.0,7.0,51.0,63
