index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
66,PDB.py,3.0,3.0,3.0,1.0,23.0,3.0,11.0,8.0,4.0,29.0,28.0,1070.0,216.0,388.0,51.0,337.0,474.0,1.0,0.0,313.0,49.0,264.0,1.0,1.0,1.0,1.0,11.0,11.0,11.0,7.0,3.0,1.22,87.0,87.0,87.0,45.0,0.0
67,PDBQT.py,4.0,4.0,4.0,1.0,34.0,3.0,22.0,10.0,2.0,5.0,5.0,344.0,42.0,140.0,15.0,125.0,170.0,0.0,0.0,92.0,15.0,77.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,3.0,3.0,1.21,22.0,22.0,22.0,7.0,0.0
68,PQR.py,5.0,5.0,5.0,1.0,38.0,4.0,21.0,14.0,2.0,4.0,4.0,306.0,54.0,103.0,14.0,89.0,156.0,0.0,0.0,81.0,14.0,67.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,1.0,3.0,1.51,20.0,20.0,20.0,4.0,0.0
69,TRJ.py,3.0,3.0,3.0,1.0,22.0,2.0,14.0,6.0,4.0,25.0,24.0,945.0,179.0,401.0,51.0,350.0,392.0,2.0,0.0,333.0,39.0,294.0,2.0,2.0,2.0,1.0,11.0,11.0,11.0,6.0,3.0,0.98,82.0,82.0,82.0,39.0,0.0
70,TRR.py,10.0,10.0,10.0,1.0,42.0,8.0,29.0,5.0,2.0,2.0,2.0,169.0,33.0,75.0,8.0,67.0,61.0,0.0,0.0,69.0,8.0,61.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,1.0,2.0,0.81,20.0,20.0,20.0,2.0,0.0
71,TRZ.py,2.0,2.0,2.0,1.0,19.0,1.0,15.0,3.0,3.0,22.0,22.0,616.0,101.0,366.0,44.0,319.0,159.0,0.0,0.0,261.0,38.0,223.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,4.0,3.0,0.43,54.0,54.0,54.0,29.0,0.0
72,TXYZ.py,1.0,1.0,1.0,1.0,10.0,1.0,7.0,2.0,1.0,9.0,9.0,169.0,31.0,80.0,20.0,58.0,59.0,0.0,0.0,75.0,18.0,57.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,3.0,0.74,17.0,17.0,17.0,9.0,0.0
73,XDR.py,1.0,1.0,1.0,1.0,13.0,1.0,7.0,4.0,2.0,15.0,15.0,289.0,43.0,128.0,28.0,100.0,118.0,0.0,0.0,116.0,25.0,91.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,2.0,0.92,29.0,29.0,29.0,15.0,0.0
74,XTC.py,2.0,2.0,2.0,1.0,20.0,2.0,9.0,8.0,2.0,3.0,3.0,136.0,20.0,43.0,10.0,33.0,73.0,0.0,0.0,40.0,9.0,31.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,1.70,6.0,6.0,6.0,3.0,0.0
75,XYZ.py,2.0,2.0,2.0,1.0,16.0,1.0,10.0,5.0,2.0,16.0,15.0,428.0,68.0,177.0,34.0,141.0,184.0,1.0,0.0,150.0,31.0,119.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,5.0,3.0,1.04,43.0,43.0,43.0,26.0,0.0
78,chain.py,1.0,1.0,1.0,1.0,9.0,1.0,4.0,4.0,1.0,28.0,28.0,388.0,75.0,134.0,48.0,86.0,184.0,0.0,0.0,116.0,38.0,78.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1.0,1.37,35.0,35.0,35.0,30.0,0.0
82,null.py,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,59.0,11.0,10.0,5.0,5.0,38.0,0.0,0.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.80,2.0,2.0,2.0,2.0,0.0
83,AtomGroup.py,1.0,1.0,1.0,1.0,11.0,1.0,4.0,0.0,1.0,3.0,2.0,66.0,12.0,32.0,8.0,24.0,22.0,1.0,0.0,19.0,7.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.69,3.0,3.0,3.0,3.0,0.0
85,_get_readers.py,7.0,7.0,7.0,5.0,69.0,8.0,27.0,35.0,0.0,3.0,3.0,245.0,34.0,90.0,11.0,79.0,125.0,0.0,0.0,62.0,11.0,51.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,2.0,1.39,21.0,21.0,21.0,15.0,0.0
87,groups.py,1.0,1.0,1.0,1.0,16.0,2.0,5.0,8.0,12.0,138.0,137.0,2964.0,577.0,893.0,250.0,643.0,1513.0,1.0,0.0,690.0,173.0,517.0,1.0,1.0,1.0,1.0,11.0,11.0,11.0,8.0,4.0,1.69,249.0,249.0,249.0,182.0,0.0
90,qcprot.py,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,2.0,8.0,3.0,5.0,2.0,1.0,0.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.0
92,topology.py,1.0,1.0,1.0,1.0,15.0,2.0,6.0,7.0,2.0,25.0,25.0,563.0,109.0,164.0,44.0,120.0,295.0,0.0,0.0,140.0,32.0,108.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,3.0,1.80,48.0,48.0,48.0,39.0,0.0
93,topologyattrs.py,1.0,1.0,1.0,1.0,10.0,1.0,5.0,3.0,32.0,102.0,102.0,1615.0,350.0,755.0,183.0,571.0,513.0,0.0,0.0,611.0,155.0,456.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,5.0,2.0,0.68,167.0,167.0,167.0,119.0,0.0
94,topologyobjects.py,1.0,1.0,1.0,1.0,11.0,1.0,6.0,4.0,7.0,56.0,56.0,996.0,196.0,410.0,87.0,322.0,395.0,0.0,0.0,278.0,72.0,206.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,7.0,3.0,0.96,103.0,103.0,103.0,79.0,0.0
97,universe.py,2.0,2.0,2.0,1.0,23.0,3.0,11.0,9.0,2.0,40.0,39.0,1199.0,199.0,464.0,86.0,377.0,542.0,1.0,0.0,348.0,64.0,284.0,1.0,1.0,1.0,1.0,18.0,18.0,18.0,12.0,4.0,1.17,114.0,114.0,114.0,73.0,0.0
100,NeighborSearch.py,3.0,3.0,3.0,2.0,25.0,1.0,11.0,13.0,1.0,3.0,3.0,123.0,13.0,39.0,9.0,30.0,71.0,0.0,0.0,33.0,9.0,24.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,2.0,1.82,10.0,10.0,10.0,7.0,0.0
102,distances.py,5.0,5.0,5.0,1.0,51.0,8.0,21.0,24.0,0.0,14.0,13.0,846.0,151.0,315.0,39.0,276.0,383.0,2.0,0.0,224.0,21.0,203.0,2.0,2.0,2.0,1.0,8.0,8.0,8.0,3.0,2.0,1.22,70.0,70.0,70.0,20.0,0.0
105,mdamath.py,3.0,3.0,3.0,2.0,33.0,6.0,10.0,17.0,0.0,12.0,12.0,473.0,105.0,131.0,16.0,115.0,244.0,0.0,0.0,125.0,16.0,109.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,15.0,4.0,1.86,39.0,39.0,39.0,30.0,0.0
106,pkdtree.py,3.0,3.0,3.0,1.0,23.0,1.0,12.0,15.0,1.0,7.0,6.0,230.0,22.0,84.0,14.0,70.0,131.0,1.0,0.0,75.0,14.0,61.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,3.0,4.0,1.56,21.0,21.0,21.0,9.0,0.0
107,transformations.py,2.0,2.0,2.0,1.0,28.0,2.0,14.0,11.0,1.0,54.0,53.0,1858.0,292.0,779.0,65.0,714.0,790.0,1.0,0.0,678.0,63.0,615.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,5.0,4.0,1.01,153.0,153.0,153.0,86.0,0.0
111,fix_agcountmethods.py,1.0,1.0,1.0,1.0,13.0,0.0,13.0,0.0,1.0,1.0,1.0,34.0,6.0,24.0,6.0,18.0,4.0,0.0,0.0,19.0,6.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.17,1.0,1.0,1.0,1.0,0.0
112,fix_agmethods.py,1.0,1.0,1.0,1.0,11.0,0.0,11.0,0.0,1.0,1.0,1.0,35.0,6.0,25.0,6.0,19.0,4.0,0.0,0.0,17.0,6.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.16,1.0,1.0,1.0,1.0,0.0
113,fix_agmethods2.py,2.0,2.0,2.0,1.0,13.0,0.0,13.0,0.0,1.0,1.0,1.0,35.0,6.0,25.0,6.0,19.0,4.0,0.0,0.0,19.0,6.0,13.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.16,2.0,2.0,2.0,1.0,0.0
114,fix_agsetterpluralization.py,3.0,3.0,3.0,1.0,17.0,0.0,17.0,3.0,1.0,1.0,1.0,40.0,6.0,30.0,6.0,24.0,7.0,0.0,0.0,21.0,6.0,15.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,0.23,3.0,3.0,3.0,1.0,0.0
115,fix_calctorsions.py,3.0,3.0,3.0,1.0,13.0,0.0,13.0,0.0,1.0,1.0,1.0,33.0,6.0,23.0,6.0,17.0,4.0,0.0,0.0,18.0,6.0,12.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,0.17,3.0,3.0,3.0,1.0,0.0
116,fix_camelcase.py,2.0,2.0,2.0,1.0,13.0,1.0,11.0,1.0,1.0,1.0,1.0,35.0,7.0,23.0,7.0,16.0,5.0,0.0,0.0,17.0,7.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.22,2.0,2.0,2.0,1.0,0.0
117,fix_framenumberingzerobased.py,2.0,2.0,2.0,1.0,15.0,0.0,12.0,5.0,1.0,1.0,1.0,34.0,5.0,22.0,6.0,16.0,9.0,0.0,0.0,17.0,6.0,11.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.41,2.0,2.0,2.0,1.0,0.0
