,File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_buggy
50,src/mesh/mesh_communication_global_indices.C,58f4a56,0.0,7.0,0.0,140.0,540.0,145.0,2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,0.0,,2.0,807.0,21.0,34.0,11.0,5.0,23.0,712.0,33.0,,,10.0,22.0,17.0,0.0,5.0,,,,,2.0,2.0,2.0,1.0,1.0,0.68,3.0,3.0,3.0,2.0,1.0
51,src/error_estimation/exact_error_estimator.C,58f4a56,6.0,24.0,7.0,119.0,342.0,115.0,4.0,4.0,5.0,1.0,37.0,6.0,20.0,7.0,0.0,,13.0,568.0,114.0,265.0,92.0,175.0,108.0,55.0,34.0,,,155.0,212.0,65.0,1.0,146.0,,,,,16.0,16.0,18.0,3.0,4.0,0.41,56.0,56.0,64.0,15.0,1.0
52,src/geom/cell_hex.C,58f4a56,9.0,38.0,7.0,115.0,341.0,96.0,5.0,2.0,5.0,1.0,53.0,9.0,38.0,7.0,0.0,,8.0,518.0,115.0,337.0,89.0,264.0,96.0,0.0,4.0,,,181.0,229.0,55.0,0.0,174.0,,,,,12.0,3.0,12.0,3.0,2.0,0.28,42.0,15.0,43.0,10.0,1.0
53,src/error_estimation/kelly_error_estimator.C,58f4a56,6.0,20.0,8.0,43.0,93.0,51.0,3.0,3.0,3.0,1.0,33.0,6.0,20.0,8.0,0.0,,4.0,181.0,43.0,81.0,44.0,50.0,51.0,0.0,12.0,,,51.0,63.0,33.0,0.0,30.0,,,,,4.0,4.0,4.0,1.0,3.0,0.63,11.0,11.0,11.0,4.0,1.0
54,src/geom/edge_edge2.C,58f4a56,1.0,8.0,0.0,26.0,74.0,26.0,1.0,1.0,1.0,1.0,9.0,1.0,8.0,0.0,0.0,,7.0,121.0,23.0,60.0,14.0,24.0,18.0,18.0,3.0,,,20.0,31.0,8.0,0.0,23.0,,,,,3.0,2.0,3.0,1.0,1.0,0.30,9.0,8.0,9.0,7.0,1.0
55,examples/adjoints/adjoints_ex2/adjoints_ex2.C,58f4a56,22.0,58.0,14.0,116.0,269.0,129.0,2.0,2.0,2.0,1.0,94.0,5.0,19.0,3.0,0.0,,4.0,510.0,45.0,78.0,14.0,51.0,86.0,278.0,28.0,,,47.0,55.0,11.0,0.0,44.0,,,,,3.0,3.0,3.0,1.0,1.0,1.10,7.0,7.0,7.0,4.0,1.0
56,examples/systems_of_equations/systems_of_equations_ex3/systems_of_equations_ex3.C,58f4a56,51.0,133.0,120.0,119.0,292.0,274.0,11.0,11.0,11.0,3.0,289.0,50.0,127.0,120.0,0.0,,2.0,657.0,117.0,257.0,73.0,199.0,273.0,12.0,26.0,,,184.0,205.0,72.0,1.0,132.0,,,,,16.0,16.0,16.0,5.0,6.0,1.06,21.0,21.0,22.0,6.0,1.0
57,src/reduced_basis/rb_construction_base.C,58f4a56,4.0,28.0,5.0,119.0,568.0,117.0,4.0,4.0,4.0,1.0,36.0,4.0,25.0,4.0,0.0,,19.0,796.0,107.0,497.0,147.0,263.0,93.0,89.0,24.0,,,224.0,297.0,101.0,14.0,182.0,,,,,21.0,21.0,22.0,1.0,5.0,0.19,68.0,68.0,71.0,19.0,1.0
58,src/numerics/distributed_vector.C,58f4a56,3.0,11.0,1.0,185.0,367.0,50.0,2.0,2.0,2.0,1.0,14.0,3.0,11.0,1.0,0.0,,29.0,597.0,185.0,352.0,119.0,193.0,50.0,0.0,15.0,,,212.0,274.0,85.0,0.0,189.0,,,,,4.0,4.0,4.0,1.0,2.0,0.14,51.0,51.0,52.0,29.0,1.0
59,src/mesh/gmv_io.C,58f4a56,30.0,92.0,27.0,561.0,1504.0,471.0,13.0,13.0,16.0,2.0,147.0,24.0,71.0,19.0,0.0,,16.0,2509.0,464.0,1150.0,244.0,815.0,346.0,488.0,93.0,,,688.0,908.0,220.0,30.0,658.0,,,,,79.0,77.0,92.0,14.0,6.0,0.30,214.0,208.0,250.0,34.0,1.0
60,contrib/nanoflann/examples/vector_of_vectors_example.cpp,58f4a56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
61,examples/vector_fe/vector_fe_ex1/vector_fe_ex1.C,58f4a56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
62,src/numerics/distributed_vector.C,58f4a56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
63,src/numerics/laspack_vector.C,58f4a56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
64,src/numerics/numeric_vector.C,58f4a56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
65,src/numerics/petsc_vector.C,58f4a56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
66,src/numerics/trilinos_epetra_vector.C,58f4a56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
67,src/utils/error_vector.C,58f4a56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
