index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,fastread_bugs
5503,dense_vector_base.h,0.0,2.0,0.0,32.0,24.0,54.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,3.0,108.0,32.0,19.0,13.0,4.0,54.0,0.0,5.0,9.0,13.0,10.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,2.84,4.0,4.0,4.0,3.0,0.0,12
5516,equation_systems_base.h,0.0,3.0,0.0,48.0,48.0,102.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,3.0,198.0,48.0,39.0,27.0,5.0,102.0,0.0,9.0,24.0,28.0,24.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,2.62,3.0,3.0,3.0,3.0,0.0,0
5520,enum_xdr_mode.h,0.0,0.0,0.0,21.0,10.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,21.0,7.0,6.0,0.0,27.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,0.0,0.0,0.0,0.0,0.0,10
5545,face_tri6.h,0.0,2.0,0.0,42.0,33.0,58.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,6.0,133.0,39.0,21.0,15.0,8.0,51.0,15.0,7.0,10.0,16.0,11.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,2.43,6.0,6.0,6.0,6.0,0.0,21
5584,multi_predicates.h,0.0,5.0,0.0,79.0,167.0,53.0,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,0.0,19.0,299.0,79.0,162.0,57.0,43.0,53.0,0.0,5.0,62.0,87.0,41.0,0.0,46.0,4.0,4.0,4.0,3.0,2.0,0.33,25.0,25.0,25.0,21.0,0.0,24
5585,variant_filter_iterator.h,0.0,6.0,1.0,109.0,228.0,206.0,1.0,1.0,1.0,1.0,7.0,0.0,5.0,1.0,1.0,30.0,534.0,109.0,194.0,99.0,48.0,206.0,12.0,25.0,66.0,98.0,60.0,0.0,38.0,3.0,3.0,3.0,1.0,1.0,1.06,34.0,34.0,35.0,30.0,0.0,12
5587,face_inf_quad6.h,0.0,0.0,0.0,49.0,41.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,10.0,0.0,0.0,0.0,15.0,137.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
5688,node.h,0.0,6.0,0.0,69.0,110.0,84.0,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,11.0,263.0,69.0,104.0,65.0,15.0,84.0,0.0,6.0,29.0,40.0,26.0,0.0,14.0,2.0,2.0,2.0,1.0,1.0,0.81,12.0,12.0,12.0,11.0,0.0,17
5734,auto_ptr.h,0.0,4.0,0.0,35.0,81.0,201.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,15.0,316.0,35.0,78.0,43.0,21.0,201.0,0.0,3.0,41.0,50.0,29.0,2.0,19.0,2.0,2.0,2.0,1.0,1.0,2.58,17.0,17.0,17.0,15.0,0.0,14
5738,linear.h,0.0,4.0,0.0,28.0,34.0,37.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,98.0,28.0,29.0,22.0,0.0,37.0,0.0,5.0,4.0,7.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.28,3.0,3.0,3.0,3.0,0.0,6
5805,mesh_refinement.h,0.0,0.0,0.0,42.0,33.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,15.0,2.0,2.0,0.0,18.0,123.0,9.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,35
