index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,human_bugs
1991,mesh_communication_global_indices.C,0.0,7.0,0.0,140.0,540.0,145.0,2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,0.0,2.0,807.0,21.0,34.0,11.0,5.0,23.0,712.0,33.0,10.0,22.0,17.0,0.0,5.0,2.0,2.0,2.0,1.0,1.0,0.68,3.0,3.0,3.0,2.0,19.0,21
1992,fem_physics.C,20.0,79.0,8.0,52.0,174.0,30.0,10.0,10.0,10.0,2.0,104.0,6.0,24.0,2.0,0.0,2.0,251.0,25.0,51.0,24.0,30.0,18.0,145.0,16.0,41.0,54.0,18.0,0.0,36.0,13.0,13.0,14.0,3.0,8.0,0.35,19.0,19.0,20.0,4.0,14.0,16
1993,fe_base.h,0.0,6.0,0.0,134.0,262.0,340.0,6.0,6.0,7.0,1.0,6.0,0.0,4.0,0.0,1.0,12.0,732.0,81.0,111.0,96.0,22.0,166.0,333.0,45.0,142.0,175.0,55.0,0.0,120.0,7.0,7.0,8.0,1.0,4.0,1.5,72.0,72.0,82.0,12.0,15.0,17
1994,complex.hpp,0.0,0.0,0.0,5.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,0.0,0.0,0.0,11.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1995,cell_inf_hex8.C,0.0,0.0,0.0,52.0,202.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,5.0,0.0,0.0,0.0,15.0,294.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18
1996,inf_fe_instantiate_3D.h,0.0,0.0,0.0,20.0,7.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,8.0,0.0,0.0,0.0,21.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8
1997,struct.h,0.0,0.0,0.0,45.0,98.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,45.0,95.0,95.0,0.0,128.0,0.0,3.0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0
1998,parmetis_partitioner.C,22.0,35.0,28.0,155.0,352.0,172.0,15.0,15.0,15.0,1.0,84.0,14.0,11.0,21.0,0.0,2.0,662.0,46.0,26.0,9.0,12.0,65.0,514.0,22.0,42.0,54.0,5.0,0.0,49.0,28.0,28.0,28.0,1.0,5.0,2.5,29.0,29.0,29.0,2.0,28.0,28
1999,expcor.c,17.0,149.0,6.0,20.0,151.0,112.0,27.0,27.0,31.0,17.0,171.0,17.0,149.0,6.0,0.0,1.0,282.0,20.0,149.0,13.0,113.0,112.0,0.0,2.0,78.0,105.0,10.0,0.0,95.0,27.0,27.0,31.0,17.0,4.0,0.75,27.0,27.0,31.0,17.0,0.0,0
2000,scoped_array.hpp,0.0,5.0,1.0,27.0,66.0,27.0,1.0,1.0,2.0,1.0,5.0,0.0,5.0,1.0,1.0,7.0,107.0,25.0,47.0,20.0,13.0,27.0,6.0,15.0,19.0,27.0,17.0,0.0,10.0,3.0,3.0,3.0,1.0,0.0,0.57,10.0,10.0,11.0,7.0,0.0,0
