index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,human_bugs
498,Action_AreaPerMol.h,0.0,1.0,0.0,2.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,24.0,2.0,17.0,14.0,1.0,1.0,0.0,4.0,13.0,15.0,14.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.06,2.0,2.0,2.0,2.0,0.0,0
499,Exec_ParmBox.cpp,0.0,16.0,1.0,2.0,33.0,1.0,3.0,3.0,3.0,1.0,16.0,0.0,16.0,1.0,0.0,2.0,36.0,2.0,31.0,5.0,25.0,1.0,0.0,2.0,19.0,25.0,5.0,0.0,20.0,5.0,5.0,5.0,1.0,1.0,0.03,6.0,6.0,6.0,2.0,0.0,0
500,vi_keymap.c,0.0,0.0,0.0,36.0,789.0,568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877.0,27.0,516.0,516.0,516.0,430.0,280.0,14.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0
501,DataSet_Cmatrix_DISK.cpp,0.0,18.0,2.0,1.0,21.0,3.0,6.0,6.0,6.0,6.0,20.0,0.0,18.0,2.0,0.0,1.0,24.0,1.0,18.0,1.0,14.0,3.0,0.0,3.0,8.0,14.0,1.0,0.0,13.0,6.0,6.0,6.0,6.0,2.0,0.17,6.0,6.0,6.0,6.0,0.0,0
502,xmalloc.c,1.0,9.0,0.0,13.0,46.0,30.0,2.0,2.0,2.0,1.0,10.0,1.0,9.0,0.0,0.0,4.0,88.0,13.0,35.0,15.0,12.0,30.0,2.0,11.0,16.0,18.0,6.0,0.0,12.0,3.0,3.0,3.0,1.0,1.0,0.86,8.0,8.0,8.0,4.0,0.0,0
503,Action_PairDist.cpp,5.0,28.0,1.0,41.0,221.0,34.0,5.0,5.0,6.0,2.0,33.0,5.0,25.0,1.0,0.0,6.0,292.0,41.0,151.0,28.0,110.0,12.0,75.0,14.0,90.0,122.0,22.0,0.0,100.0,11.0,11.0,12.0,6.0,3.0,0.08,32.0,30.0,34.0,13.0,0.0,0
504,DataIO_Gnuplot.cpp,1.0,28.0,4.0,34.0,515.0,112.0,7.0,7.0,8.0,2.0,33.0,1.0,28.0,4.0,0.0,18.0,653.0,34.0,510.0,132.0,373.0,112.0,0.0,5.0,323.0,455.0,111.0,0.0,344.0,21.0,21.0,21.0,5.0,5.0,0.22,131.0,128.0,149.0,41.0,0.0,0
505,Action_Watershell.cpp,2.0,63.0,13.0,14.0,323.0,74.0,8.0,8.0,9.0,4.0,75.0,1.0,38.0,9.0,0.0,5.0,399.0,11.0,191.0,44.0,141.0,56.0,109.0,47.0,119.0,161.0,38.0,0.0,123.0,20.0,20.0,20.0,11.0,9.0,0.29,42.0,42.0,45.0,22.0,0.0,0
506,Action_Radial.cpp,2.0,48.0,9.0,24.0,420.0,95.0,10.0,10.0,11.0,2.0,58.0,2.0,40.0,8.0,0.0,8.0,528.0,24.0,318.0,63.0,251.0,85.0,68.0,51.0,184.0,260.0,44.0,0.0,216.0,24.0,24.0,26.0,9.0,6.0,0.27,76.0,76.0,85.0,21.0,2.0,0
507,termcap.c,3.0,29.0,3.0,115.0,576.0,137.0,6.0,6.0,8.0,2.0,35.0,3.0,27.0,3.0,0.0,14.0,813.0,92.0,399.0,109.0,222.0,128.0,145.0,85.0,208.0,262.0,65.0,3.0,194.0,20.0,20.0,27.0,6.0,4.0,0.32,79.0,79.0,110.0,33.0,0.0,0
