,File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,human_buggy
352,src/USER-TALLY/compute_stress_tally.cpp,633ca33,3.0,16.0,1.0,48.0,171.0,30.0,3.0,3.0,5.0,1.0,19.0,3.0,16.0,1.0,0.0,,10.0,248.0,48.0,162.0,35.0,117.0,30.0,0.0,9.0,,,121.0,155.0,32.0,0.0,123.0,,,,,6.0,6.0,10.0,1.0,3.0,0.19,33.0,33.0,46.0,10.0,0.0
353,src/KOKKOS/pair_buck_kokkos.cpp,633ca33,3.0,21.0,1.0,47.0,203.0,31.0,4.0,4.0,5.0,1.0,24.0,3.0,21.0,1.0,0.0,,8.0,281.0,47.0,179.0,42.0,129.0,31.0,1.0,23.0,,,112.0,142.0,27.0,0.0,115.0,,,,,11.0,11.0,13.0,1.0,2.0,0.17,34.0,34.0,40.0,8.0,0.0
354,lib/colvars/colvarcomp_rotations.cpp,633ca33,1.0,7.0,0.0,111.0,296.0,14.0,2.0,2.0,2.0,1.0,8.0,1.0,7.0,0.0,0.0,,41.0,421.0,111.0,290.0,90.0,145.0,14.0,0.0,6.0,,,136.0,205.0,67.0,0.0,138.0,,,,,10.0,10.0,11.0,3.0,3.0,0.05,76.0,76.0,77.0,43.0,0.0
355,src/USER-OMP/reaxc_bonds_omp.cpp,633ca33,23.0,112.0,9.0,29.0,122.0,37.0,12.0,12.0,19.0,8.0,142.0,23.0,94.0,9.0,0.0,,1.0,186.0,29.0,95.0,25.0,72.0,37.0,8.0,22.0,,,64.0,77.0,23.0,0.0,54.0,,,,,12.0,12.0,19.0,8.0,5.0,0.39,12.0,12.0,19.0,8.0,0.0
356,src/KOKKOS/fix_nve_kokkos.cpp,633ca33,1.0,12.0,0.0,25.0,133.0,21.0,2.0,2.0,2.0,1.0,13.0,1.0,12.0,0.0,0.0,,9.0,179.0,25.0,121.0,37.0,65.0,21.0,1.0,11.0,,,64.0,84.0,24.0,0.0,60.0,,,,,3.0,3.0,3.0,1.0,1.0,0.17,17.0,17.0,17.0,9.0,0.0
357,src/USER-DRUDE/pair_lj_cut_thole_long.cpp,633ca33,3.0,30.0,1.0,98.0,541.0,66.0,7.0,7.0,7.0,1.0,34.0,3.0,30.0,1.0,0.0,,17.0,705.0,98.0,516.0,85.0,404.0,66.0,0.0,25.0,,,388.0,501.0,84.0,0.0,417.0,,,,,26.0,26.0,33.0,8.0,7.0,0.13,111.0,111.0,126.0,26.0,0.0
358,lib/colvars/colvarcomp_coordnums.cpp,633ca33,1.0,9.0,0.0,123.0,362.0,22.0,2.0,2.0,2.0,1.0,11.0,1.0,9.0,0.0,0.0,,37.0,506.0,120.0,328.0,120.0,192.0,19.0,31.0,9.0,,,183.0,270.0,92.0,0.0,178.0,,,,,10.0,10.0,10.0,1.0,4.0,0.06,86.0,86.0,92.0,37.0,0.0
359,src/pair_mie_cut.cpp,633ca33,4.0,30.0,1.0,117.0,557.0,64.0,5.0,5.0,6.0,1.0,35.0,4.0,30.0,1.0,0.0,,18.0,738.0,117.0,540.0,110.0,421.0,64.0,0.0,17.0,,,417.0,512.0,109.0,0.0,403.0,,,,,13.0,13.0,15.0,5.0,5.0,0.12,94.0,94.0,105.0,22.0,0.0
360,lib/colvars/Install.py,633ca33,,,,,,,7.0,7.0,7.0,1.0,25.0,0.0,4.0,0.0,0.0,2.0,1.0,82.0,20.0,51.0,2.0,49.0,11.0,,,288.0,2.0,,47.0,2.0,,45.0,12.0,12.0,12.0,1.0,12.0,12.0,12.0,1.0,3.0,0.22,14.0,14.0,14.0,2.0,0.0
361,src/Make.py,633ca33,,,,,,,4.0,4.0,4.0,1.0,15.0,0.0,13.0,0.0,32.0,127.0,126.0,2378.0,332.0,1815.0,161.0,1655.0,249.0,,,999999999.0,9.0,,1553.0,161.0,,1392.0,43.0,43.0,43.0,11.0,103.0,103.0,103.0,11.0,5.0,0.14,614.0,614.0,614.0,162.0,0.0
