,File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,human_buggy
12173,src/68_lotf/m_eval_lotf.F90,86b7f7d,10.0,10.0,,1.0,104.0,21.0,68.0,18.0,,7.0,,1.0,1.0,7.0,913.0,168.0,493.0,149.0,345.0,272.0,,,455.0,131.0,324.0,,,,,31.0,31.0,,5.0,5.0,0.55,74.0,74.0,,12.0,0.0
12174,src/66_nonlocal/opernla_ylm.F90,86b7f7d,380.0,380.0,,1.0,2625.0,63.0,2008.0,598.0,,1.0,,0.0,1.0,1.0,2736.0,66.0,2010.0,70.0,1937.0,706.0,,,2219.0,38.0,2181.0,,,,,380.0,380.0,,1.0,10.0,0.35,380.0,380.0,,1.0,0.0
12175,src/95_drive/timana.F90,86b7f7d,169.0,76.0,,110.0,1646.0,171.0,1323.0,180.0,,1.0,,0.0,1.0,1.0,1753.0,174.0,1325.0,35.0,1259.0,284.0,,,1441.0,32.0,1409.0,,,,,169.0,76.0,,110.0,8.0,0.21,169.0,76.0,,110.0,0.0
12176,src/77_ddb/complete_gamma_tr.F90,86b7f7d,41.0,41.0,,9.0,331.0,61.0,219.0,63.0,,1.0,,0.0,1.0,1.0,380.0,64.0,221.0,37.0,183.0,109.0,,,179.0,31.0,148.0,,,,,41.0,41.0,,9.0,8.0,0.49,41.0,41.0,,9.0,0.0
12177,src/67_common/prtefield.F90,86b7f7d,29.0,29.0,,1.0,361.0,80.0,224.0,73.0,,1.0,,0.0,1.0,1.0,410.0,84.0,226.0,19.0,206.0,118.0,,,147.0,18.0,129.0,,,,,29.0,29.0,,1.0,3.0,0.52,29.0,29.0,,1.0,0.0
12178,src/66_nonlocal/m_hamiltonian.F90,86b7f7d,17.0,17.0,,1.0,106.0,16.0,73.0,18.0,,13.0,,1.0,1.0,13.0,2417.0,399.0,1095.0,407.0,670.0,951.0,,,1048.0,289.0,759.0,,,,,36.0,36.0,,1.0,6.0,0.87,228.0,226.0,,13.0,0.0
12179,src/77_ddb/defs_elphon.F90,86b7f7d,60.0,60.0,,0.0,635.0,111.0,414.0,130.0,,2.0,,0.0,1.0,1.0,1369.0,225.0,831.0,150.0,680.0,357.0,,,700.0,64.0,636.0,,,,,120.0,120.0,,1.0,7.0,0.43,120.0,120.0,,1.0,0.0
12180,src/77_ddb/elphon.F90,86b7f7d,60.0,60.0,,0.0,635.0,111.0,414.0,130.0,,2.0,,0.0,1.0,1.0,1369.0,225.0,831.0,150.0,680.0,357.0,,,700.0,64.0,636.0,,,,,120.0,120.0,,1.0,7.0,0.43,120.0,120.0,,1.0,0.0
12181,src/77_ddb/electrooptic.F90,86b7f7d,35.0,35.0,,1.0,218.0,45.0,148.0,31.0,,1.0,,0.0,1.0,1.0,279.0,49.0,150.0,25.0,124.0,88.0,,,140.0,18.0,122.0,,,,,35.0,35.0,,1.0,7.0,0.59,35.0,35.0,,1.0,0.0
12182,src/32_util/inupper.F90,86b7f7d,9.0,9.0,,4.0,65.0,9.0,36.0,20.0,,1.0,,0.0,1.0,1.0,110.0,12.0,38.0,14.0,23.0,62.0,,,36.0,12.0,24.0,,,,,9.0,9.0,,4.0,3.0,1.63,9.0,9.0,,4.0,0.0
