index,File,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,Bugs
326,ctocprjb.F90,1.0,1.0,0.0,43.0,10.0,26.0,6.0,2.0,0.0,1.0,1.0,125.0,24.0,54.0,40.0,13.0,49.0,38.0,27.0,11.0,3.0,3.0,1.0,1.0,0.91,3.0,3.0,1.0,0.0
327,benf.f,11.0,11.0,3.0,78.0,2.0,66.0,10.0,6.0,0.0,6.0,6.0,478.0,13.0,396.0,47.0,349.0,69.0,388.0,57.0,331.0,27.0,27.0,9.0,4.0,0.17,68.0,68.0,18.0,0.0
328,m_contstr25a.F90,10.0,10.0,1.0,5776.0,12.0,5743.0,21.0,1.0,1.0,1.0,1.0,5840.0,20.0,5748.0,20.0,5727.0,74.0,489.0,17.0,472.0,10.0,10.0,1.0,2.0,0.01,10.0,10.0,1.0,0.0
329,m_dfpt_fef.F90,36.0,36.0,7.0,287.0,54.0,203.0,39.0,8.0,1.0,1.0,8.0,2738.0,462.0,1654.0,274.0,1379.0,710.0,1491.0,175.0,1316.0,90.0,90.0,55.0,8.0,0.43,292.0,292.0,62.0,0.0
330,m_rec_tools.F90,4.0,4.0,2.0,44.0,6.0,28.0,10.0,3.0,1.0,1.0,3.0,274.0,34.0,99.0,49.0,49.0,147.0,92.0,41.0,51.0,7.0,7.0,5.0,5.0,1.48,13.0,13.0,7.0,0.0
331,mrgscr.F90,186.0,175.0,28.0,1315.0,204.0,1004.0,217.0,1.0,0.0,1.0,1.0,1367.0,207.0,1006.0,179.0,826.0,266.0,899.0,79.0,820.0,186.0,175.0,28.0,10.0,0.26,186.0,175.0,28.0,0.0
332,m_gwls_DielectricArray.F90,22.0,22.0,1.0,340.0,106.0,169.0,88.0,6.0,1.0,1.0,6.0,2291.0,672.0,1061.0,347.0,713.0,698.0,874.0,186.0,688.0,82.0,82.0,1.0,7.0,0.66,133.0,133.0,6.0,0.0
333,appdig.F90,4.0,4.0,1.0,61.0,9.0,29.0,23.0,1.0,0.0,1.0,1.0,103.0,13.0,31.0,14.0,16.0,61.0,27.0,12.0,15.0,4.0,4.0,1.0,1.0,1.97,4.0,4.0,1.0,0.0
334,indefo1.F90,5.0,5.0,1.0,167.0,13.0,112.0,45.0,1.0,0.0,1.0,1.0,205.0,17.0,114.0,12.0,101.0,79.0,113.0,9.0,104.0,5.0,5.0,1.0,1.0,0.69,5.0,5.0,1.0,0.0
335,m_outqmc.F90,27.0,17.0,3.0,168.0,18.0,133.0,22.0,3.0,1.0,1.0,3.0,656.0,73.0,419.0,68.0,349.0,186.0,405.0,55.0,350.0,73.0,44.0,6.0,4.0,0.44,82.0,53.0,11.0,0.0
