index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
37,SftpFileSystemDockerTest.java,1.0,1.0,1.0,1.0,8.0,0.0,7.0,0.0,2.0,0.0,1.0,6.0,6.0,6.0,0.0,6.0,0.0,0.0,1.0,5.0,83.0,14.0,54.0,25.0,27.0,15.0,26.0,33.0,25.0,8.0,1.0,1.0,1.0,1.0,0.0,0.28,6.0,6.0,6.0,6.0,0.0
38,FtpFileSystem.java,2.0,2.0,2.0,1.0,14.0,2.0,11.0,0.0,1.0,0.0,3.0,25.0,25.0,25.0,3.0,25.0,0.0,7.0,4.0,14.0,464.0,105.0,334.0,97.0,196.0,25.0,176.0,244.0,83.0,161.0,13.0,13.0,13.0,3.0,3.0,0.07,63.0,63.0,66.0,27.0,0.0
39,ConnectionLostException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,37.0,5.0,11.0,6.0,3.0,21.0,5.0,8.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,1.91,2.0,2.0,2.0,2.0,0.0
40,LiveLocationConfig.java,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,0.0,1.0,0.0,4.0,62.0,7.0,38.0,17.0,15.0,17.0,16.0,24.0,14.0,10.0,2.0,2.0,2.0,1.0,1.0,0.45,7.0,7.0,7.0,5.0,0.0
41,LocalInteractiveProcessFactory.java,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,52.0,9.0,28.0,15.0,8.0,15.0,13.0,19.0,12.0,7.0,2.0,2.0,2.0,1.0,1.0,0.54,5.0,5.0,5.0,3.0,0.0
42,AdaptorDescription.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,76.0,11.0,7.0,6.0,0.0,58.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29,0.0,0.0,0.0,0.0,0.0
43,FtpFileSystemDockerTest.java,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,2.0,0.0,1.0,6.0,6.0,6.0,0.0,6.0,0.0,0.0,1.0,5.0,75.0,12.0,48.0,21.0,24.0,16.0,20.0,27.0,21.0,6.0,1.0,1.0,1.0,1.0,0.0,0.33,6.0,6.0,6.0,6.0,0.0
44,AttributeNotSupportedException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,38.0,6.0,11.0,6.0,3.0,21.0,5.0,8.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,1.91,2.0,2.0,2.0,2.0,0.0
45,JobStatus.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,7.0,0.0,0.0,1.0,81.0,10.0,12.0,11.0,0.0,59.0,10.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92,0.0,0.0,0.0,0.0,0.0
46,LocalFileAdaptor.java,1.0,1.0,1.0,1.0,7.0,1.0,4.0,1.0,1.0,1.0,5.0,7.0,7.0,6.0,0.0,7.0,0.0,1.0,0.0,6.0,121.0,22.0,59.0,34.0,24.0,40.0,32.0,43.0,28.0,15.0,3.0,3.0,4.0,1.0,2.0,0.68,10.0,10.0,12.0,7.0,0.0
