Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
base.py,2.0,2.0,2.0,1.0,11.0,1.0,5.0,4.0,9.0,114.0,114.0,1757.0,341.0,740.0,186.0,554.0,689.0,0.0,0.0,618.0,136.0,482.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,13.0,4.0,0.93,231.0,231.0,231.0,172.0,0.0
core.py,4.0,4.0,4.0,3.0,45.0,4.0,15.0,25.0,0.0,4.0,4.0,229.0,33.0,70.0,11.0,59.0,127.0,0.0,0.0,43.0,7.0,36.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,8.0,3.0,1.81,16.0,16.0,16.0,13.0,0.0
TRR.py,1.0,1.0,1.0,1.0,7.0,0.0,6.0,1.0,3.0,17.0,17.0,309.0,55.0,144.0,38.0,106.0,115.0,0.0,0.0,101.0,26.0,75.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,3.0,2.0,0.80,33.0,33.0,33.0,19.0,0.0
XTC.py,2.0,2.0,2.0,1.0,9.0,1.0,7.0,0.0,2.0,4.0,4.0,115.0,26.0,44.0,12.0,32.0,48.0,0.0,0.0,40.0,12.0,28.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,3.0,1.0,1.09,10.0,10.0,10.0,6.0,0.0
core.py,2.0,2.0,2.0,1.0,20.0,2.0,10.0,8.0,3.0,29.0,29.0,760.0,127.0,325.0,50.0,275.0,320.0,0.0,0.0,294.0,44.0,250.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,6.0,3.0,0.98,86.0,86.0,86.0,53.0,0.0
AtomGroup.py,2.0,2.0,2.0,1.0,16.0,2.0,6.0,7.0,8.0,214.0,213.0,4741.0,978.0,1564.0,369.0,1176.0,2237.0,1.0,0.0,1234.0,261.0,973.0,1.0,1.0,1.0,1.0,18.0,18.0,18.0,8.0,3.0,1.43,431.0,431.0,431.0,284.0,0.0
Selection.py,1.0,1.0,1.0,1.0,8.0,0.0,7.0,0.0,39.0,68.0,67.0,997.0,163.0,687.0,116.0,571.0,156.0,1.0,0.0,551.0,115.0,436.0,1.0,1.0,1.0,1.0,29.0,29.0,29.0,25.0,3.0,0.23,135.0,135.0,135.0,100.0,0.0
base.py,2.0,2.0,2.0,1.0,16.0,1.0,8.0,7.0,1.0,8.0,8.0,210.0,32.0,76.0,12.0,64.0,109.0,0.0,0.0,72.0,12.0,60.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,1.0,3.0,1.43,22.0,22.0,22.0,8.0,0.0
CRDParser.py,6.0,6.0,6.0,6.0,44.0,7.0,29.0,8.0,1.0,1.0,1.0,87.0,17.0,36.0,7.0,29.0,34.0,0.0,0.0,32.0,7.0,25.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,3.0,0.94,6.0,6.0,6.0,6.0,0.0
DLPolyParser.py,8.0,8.0,8.0,1.0,56.0,9.0,47.0,0.0,2.0,2.0,2.0,164.0,31.0,107.0,12.0,95.0,26.0,0.0,0.0,100.0,11.0,89.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,1.0,3.0,0.24,16.0,16.0,16.0,2.0,0.0
